Wróbel,Passer,domesticus
Kawka,Corvus,monedula
Kruk,Corvus,corax
Wrona siwa,Corvus,corone
Gawron,Corvus,frugilegus
Sikorka modraszka,Cyanistes,caeruleus
Sikorka bogatka,Parus,major
Dziecioł zielony,Picus,viridis
Jaskółka dymówka,Hirundo,rustica
Jaskółka oknówka,Delichon,urbicum
Jerzyk,Apus,apus
Dziecioł duży,Dendrocopos,major
Kaczka Krzyżówka,Anas,platyrhynchos
Łabędź krzykliwy,Cygnus,cygnus
Łabędź niemy,Cygnus,olor
Pliszka siwa,Motacilla,alba
Sroka,Pica,pica
Sójka,Garrulus,glandarius
Kwiczoł,Turdus,pilaris
Nurogęś,Mergus,merganser
Gołąb miejski,Columba,livia
Gołąb sierpówka,Streptopelia,decaocto
Grzywacz,Columba,palumbus
Pustułka,Falco,tinnunculus
Drozd,Turdus,philomelos
Kos,Turdus,merula
Puszczyk,Strix,aluco
Jastrząb,Accipiter,gentilis
Bocian biały,Ciconia,ciconia
Gil,Pyrrhula,pyrrhula
Czyż,Spinus,spinus
Czapla siwa,Ardea,cinerea
Zięba,Fringilla,coelebs
Jemiołuszka,Bombycilla,garrulus
Żuraw,Gruidae,
Skowronek,Alauda,arvensis
Mazurek,Passer,montanus
Mysikrólik,Regulus,regulus
Wilga,Oriolus,oriolus
Dudek,Upupa,epops
Czajka,Vanellus,vanellus
Czubatka,Lophophanes,cristatus
Szpak,Sturnus,vulgaris
Edredon,Somateria,mollissima
Cyranka,Spatula,querquedula
Bernikla kanadyjska,Branta,canadensis
Gęś gęgawa,Anser,anser
Słowik,Luscinia,luscinia
Siniak,Columba,oenas
Gęsiorek,Lanius,collurio
